K,Accuracy
1,55.655142979086634
2,59.92317541613317
3,62.91079812206573
4,64.61801109688433
5,66.6239863422962
6,68.37387964148527
7,69.18480580452412
8,69.52624839948783
9,70.25181391378574
10,70.76397780623132
